,Level,Results,Might Bonus,Food Cost,Stone Cost,Timber Cost,Ore Cost,Required,Orig. Time
0,1,Forging Speed +4%,15,425,425,425,425,Mines: Lv.1,75
1,2,Forging Speed +4%,30,637,637,637,637,Mines: Lv 2,165
2,3,Forging Speed +4%,45,956,956,956,956,Mines: Lv.3,330
3,4,Forging Speed +4%,63,1434,1434,1434,1434,Mines: Lv.4,660
4,5,Forging Speed +4%,88,2151,2151,2151,2151,Mines: Lv.5,1320
5,6,Forging Speed +4%,123,3227,3227,3227,3227,Mines: Lv.6,2640
6,7,Forging Speed +4%,173,4841,4841,4841,4841,Mines: Lv.7,5280
7,8,Forging Speed +4%,242,7261,7261,7261,7261,Mines: Lv.8,10560
8,9,Forging Speed +4%,339,10892,10892,10892,10892,Mines: Lv.9,19008
9,10,Forging Speed +4%,474,16338,16338,16338,16338,Mines: Lv.10,30413
10,11,Forging Speed +4%,664,24507,24507,24507,24507,Mines: Lv.11,39537
11,12,Forging Speed +4%,930,36761,36761,36761,36761,Mines: Lv.12,45468
12,13,Forging Speed +4%,1302,55142,55142,55142,55142,Mines: Lv.13,52288
13,14,Forging Speed +4%,1822,82713,82713,82713,82713,Mines: Lv.14,60131
14,15,Forging Speed +4%,2551,124069,124069,124069,124069,Mines: Lv.15,69150
15,16,Forging Speed +4%,3572,186104,186104,186104,186104,Mines: Lv.16,79523
16,17,"Forging Speed +4%, unlocks Leader's 2nd Acc Slot",5000,279157,279157,279157,279157,Mines: Lv.17,91451
17,18,Forging Speed +4%,7001,418736,418736,418736,418736,Mines: Lv.18,105169
18,19,Forging Speed +4%,9801,628104,628104,628104,628104,Mines: Lv.19,120944
19,20,Forging Speed +4%,13721,942156,942156,942156,942156,Mines: Lv.20,139086
20,21,Forging Speed +4%,19209,1413234,1413234,1413234,1413234,Mines: Lv.21,180811
21,22,Forging Speed +4%,26894,2119851,2119851,2119851,2119851,Mines: Lv.22,289297
22,23,Forging Speed +4%,37651,3179776,3179776,3179776,3179776,Mines: Lv.23,520680
23,24,Forging Speed +4%,52711,4769665,4769665,4769665,4769665,Mines: Lv.24,937320
24,25,"Forging Speed +29%, unlocks Leader's 3rd Acc Slot",89608,9539330,9539330,9539330,9539330,"Mine: Lv.25, Gold Hammer",3280626
